PAX6B	represses	tfdp2
POU2F2A	represses	tfdp2
BHLHE40	represses	tfdp2
LHX2B	represses	tfdp2
PAX6A	represses	tfdp2
CLOCKA	represses	tfdp2
RORAB	represses	tfdp2
ZIC2B	represses	ago1
LMX1A	represses	ago1
PAX6A	represses	ago1
PAX6B	represses	ago1
PBX1A	represses	ago1
RREB1B	represses	tle3a
RX2	represses	rnf220a
LMX1A	represses	rnf220a
OSR1	represses	rnf220a
VAX1	represses	rnf220a
VAX2	represses	rnf220a
RX1	represses	rnf220a
RX1	represses	rnf220a
VAX2	represses	rnf220a
RREB1B	represses	rnf220a
RX2	represses	rnf220a
VAX1	represses	rnf220a
LMX1A	represses	rnf220a
LHX2B	represses	rnf220a
TBX2B	represses	rnf220a
TBX2B	represses	rnf220a
VAX1	represses	rnf220a
LMX1A	represses	rnf220a
RORAB	represses	metrn
RREB1B	represses	metrn
RORAB	represses	metrn
POU2F2A	represses	metrn
ESRRGA	represses	metrn
TFEC	represses	metrn
BHLHE40	represses	metrn
LMX1A	represses	fbrsl1
PBX1A	represses	fbrsl1
VAX1	represses	fbrsl1
ZIC2B	represses	fbrsl1
VAX2	represses	fbrsl1
RX1	represses	nav2a
PAX6B	represses	nav2a
VAX1	represses	nav2a
RX2	represses	nav2a
PBX1A	represses	nav2a
VAX2	represses	nav2a
PAX6A	represses	nav2a
LMX1A	represses	nav2a
