BHLHE40
BNC2
CLOCKA
ESRRGA
FOXD1
FOXN3
KLF13
LHX2B
LMX1A
MITFA
OSR1
PAX6A
PAX6B
PBX1A
POU2F2A
RORAB
RORCB
RREB1B
RX1
RX2
RXRAA
SIX3A
SIX3B
SNAI1B
TBX2B
TEAD3A
TFEC
VAX1
VAX2
ZIC2B
