BHLHE40 4.13928153918862 1.61210584187578e-91 0.235 13.8823529411765
BNC2 3.08873757551153 4.26104269274801e-75 0.404 6.23076923076923
CLOCKA 0.839769584635343 1.38815061344344e-08 0.582 1.68985507246377
ESRRGA 1.86769167157382 4.6910226029359e-17 0.197 4.04081632653061
FOXD1 2.60934712462899 1.65940220718712e-44 0.244 6.62162162162162
FOXN3 0.762781939856495 5.31731237229456e-07 0.451 1.89121338912134
KLF13 1.36909241471296 3.63520208161925e-07 0.216 2.6144578313253
LHX2B 1.62659967503355 1.62020347051479e-56 0.695 3.34615384615385
LMX1A 1.31159120990085 0.00022435420668692 0.103 3.25
MITFA 5.02741183899608 1.88148958744371e-33 0.066 16.75
OSR1 5.40546293614341 2.03218032559346e-91 0.113 38
PAX6A 1.41064380830727 1.57444932066183e-46 0.911 2.08219178082192
PAX6B 1.54043218936616 4.03160040125158e-47 0.732 2.78707224334601
PBX1A 1.08718822120549 3.97599415527415e-10 0.455 1.93220338983051
POU2F2A 1.4401124798384 6.68483169236758e-09 0.221 2.775
RORAB 1.50651509936042 7.26134701869922e-28 0.408 3.32520325203252
RORCB 1.39749917632047 2.59722506778506e-09 0.202 3.02985074626866
RREB1B 1.17191193303992 2.79582276716737e-10 0.371 2.21428571428571
RX1 2.52867285667627 1.55426408192996e-80 0.521 5.38144329896907
RX2 2.33544142127491 2.60873493784655e-43 0.31 5.27118644067797
RXRAA 1.51996403354729 8.83623751659544e-49 0.634 3.12807881773399
SIX3A 1.74171769884215 3.13736137767274e-11 0.183 3.34545454545455
SIX3B 1.57580396664763 9.53395683555902e-14 0.23 3.3
SNAI1B 3.6816220161565 2.37860546083467e-90 0.319 9.41176470588235
TBX2B 1.06304031932091 0.000472139269316071 0.235 2.14545454545455
TEAD3A 1.42504561763873 9.1168160613226e-09 0.376 2.00531914893617
TFEC 5.6385892770636 1.09705719657225e-123 0.169 34
VAX1 2.57578320543995 4.82430490032674e-83 0.404 7.10526315789474
VAX2 2.4575528514018 3.0888233241842e-108 0.657 5.48333333333333
ZIC2B 0.792557864093523 2.28796962912588e-08 0.432 2.06190476190476
