10 11493998 11861927 adamts6
10 20820364 21154059 pcdh1a
10 22436693 22706468 efnb3a
10 25882212 26216636 frem2a
10 32798533 33256789 cux1a
10 39376432 39941419 kirrel3a
10 8630988 8941038 itga1
11 19956732 20159407 fezf2
11 23242996 23601467 plekha6
11 24616837 24856816 inavab
11 28066165 28524186 ephb2b
11 32476300 32823851 pcdh17
1 15193531 15429277 dlc1
12 23075962 23465737 mpp7a
12 24242303 24740339 nrxn1a
12 25500685 25703341 six3b
12 30133977 30408351 afap1l2
12 35736610 35985349 cep131
1 23683349 24012788 slit2
12 45699982 45976387 pax2b
13 10158007 10361383 six3a
13 25746528 26025224 bcl11aa
13 29670837 29905529 pax2a
13 30704367 30919715 cxcl12a
13 3009064 3255244 pkdcca
13 31483034 31706247 six6a
13 41911285 42118948 cyp1b1
13 43147936 43425839 smoc2
14 17342913 17663773 fgfrl1a
1 42676553 42879075 lrrtm1
14 28181744 28485565 mid2
14 33622950 33857715 apln
14 45100278 45306999 shisa3
1 46094333 46296107 sox1b
15 14336159 14652101 numbl
15 15416612 15693263 traf4a
15 16093809 16423750 nxn
15 19904766 20124205 auts2b
1 5173481 5377583 spry2
15 31881885 32297821 dchs1a
15 32336907 32696155 frem2b
16 14584916 15150842 col14a1a
16 17202452 17447727 zyx
16 23930272 24235573 bcam
16 30521684 30755980 ldlrad4b
16 37370717 37730250 adgrb1a
16 4187542 4417879 vegfaa
16 9707263 9930451 grhl2a
17 14696926 14976758 nid2a
17 16464921 16834329 foxn3
17 21195132 21411413 eno4
17 21211401 21468775 shtn1
17 21272291 21518340 atp6v1ba
17 21332693 21541464 vax1
17 29017027 29219362 foxg1a
17 45715353 46089466 kif26ab
17 48214724 48468231 smoc1
18 24819614 25032329 rgma
19 12344943 12722855 ldlrad4a
19 28634048 28888466 sox4a
19 28686149 28889409 sox4a
19 3553976 3807794 nedd9
19 7536941 7780056 cgnb
20 32337396 32546406 nr2e1
20 49716798 49989111 kif13bb
21 20388662 20736817 efna5a
21 26052332 26350744 gria1b
21 44584577 44791068 spry4
22 23138790 23353481 lhx9
22 24986567 25237256 rrbp1b
22 25891130 26105894 pdgfaa
22 25985343 26200282 pdgfaa
22 26829554 27045493 cxcl12b
22 5642173 5852009 bcdin3d
2 26188301 26400619 ptbp1a
23 22920709 23223901 samd11
23 23299520 23501305 her9
23 24251304 24494719 epha2b
23 38279627 38597705 tshz2
23 41213084 41685776 scube3
23 6321414 6622099 bmp7b
2 3596038 3920159 egfra
23 9838236 10237322 plxnb1a
24 1062325 1456668 nrp1a
24 13151480 13372843 rdh10a
24 13769092 14115459 eya1
24 19314561 19688659 sulf1
24 28348387 28657301 arhgap29a
24 4347635 4550238 fzd8a
2 46489798 46828027 ephb1
24 6587892 6998302 dpp6a
24 9644012 9973206 tmem108
25 14594876 14839282 mpped2
25 22471475 22734675 stra6
25 27837585 28369953 cadps2
25 28172908 28376091 fezf1
25 28179577 28436106 aass
25 31446828 31729095 lamb1a
2 7823964 8117579 ephb3a
3 12340099 12587576 vasnb
3 12824930 13070428 pdgfab
3 25446672 25746149 usp43b
3 25608549 25914097 ntn1b
3 53673256 54019463 col5a3a
4 16882249 17155950 sox5
5 14429101 14748433 sema4c
5 17524463 17853961 fbrsl1
5 17680475 17913299 chfr
5 25266677 25506807 rorb
5 27388975 27638745 sfrp1a
5 32824669 33062023 lmo4a
5 44746280 45042760 kank1a
5 51515025 51719742 otpb
5 58750626 59039460 mcama
5 64714482 64931207 lix1
5 7388064 7812160 bmpr1ba
6 15651982 15857867 ackr3b
6 19704048 20026657 ntn1a
6 20664848 20975111 tns1a
6 44143070 44502358 pdzrn3b
6 49550170 49773476 apcdd1l
6 59326148 59605589 gli1
6 6391013 6641519 bcl11ab
6 9468149 9681949 cyp27c1
7 27150012 27554645 sox6
7 28364794 28649535 dennd2b
7 30830653 31242273 tjp1a
7 32269026 32560223 lgr4
7 33544434 33784632 tle3b
7 34587969 34876900 plekhg4
7 42360302 42647992 adamts18
7 63224888 63670206 pcdh7b
7 8744285 8981514 vax2
7 9621385 9903154 aldh1a3
8 16157220 16359063 dmrta2
8 17454313 17871755 prkcz
8 2985120 3201392 lhx2b
8 8066285 8382555 plxnb3
9 14267570 14604834 nrp2b
9 28132522 28334444 fzd5
9 29616380 30085390 il1rapl1a
9 31182161 31387010 zic2a
9 38783388 39093033 map2
9 46720636 46942179 igfbp5b
9 4630398 4956767 fmnl2a
