10 10251685 10480131 cercam
10 18926988 19193808 igsf9a
10 30919607 31320558 pknox2
11 24807469 25093225 sulf2a
1 13160809 13371569 pcdh18a
11 39067846 39302915 wnt4
11 41142644 41472948 pax7a
1 21625821 21915554 pax5
12 21597540 21848008 pkd1b
12 22158962 22404841 wnt3
1 25299514 25538934 fhdc1
13 13113567 13394872 fgfr3
14 12433560 12937432 gria3b
14 14477246 14696699 plp1a
14 29707097 30006209 sorbs2b
1 49714461 50005357 lef1
15 18153542 18461475 zbtb16b
15 18268809 18674716 ncam1b
15 35272907 35510860 mecom
15 39177099 39920491 robo1
15 42063356 42306890 pax3b
15 8135531 8409217 tnfrsf19
16 33493116 33695985 pou3f1
16 713780 917937 irx1a
17 17814369 18125691 ccdc85ca
17 24218753 24424415 otx1
17 30269107 30518016 greb1
17 30876484 31182381 eml1
17 44144659 44349720 otx2b
17 52722422 53021236 meis2a
17 7744927 8273380 syne1b
18 15234117 15473620 rfx4
18 20125961 20357511 tle3a
18 40425408 40640703 vwa7
20 9998590 10220442 meis2a
20 24717118 25063092 epha7
2 11585742 11933356 greb1l
22 23393170 23645828 crb1
2 26203627 26544503 efna2a
2 29876419 30079956 en2b
23 20763145 21036845 pax7b
23 25352656 25786954 lrp1ab
23 28854137 29104753 casz1
2 32951730 33316740 rnf220a
24 37841618 38055993 metrn
2 47270323 47531205 pax3a
25 2676511 3112872 neo1b
25 2676865 2971393 neo1b
25 31223970 31494515 lsp1a
3 23597997 23871945 hoxb3a
3 24175597 24397419 pdgfbb
3 55527948 55750771 axin2
4 12512145 12779293 lmo3
4 28090013 28435184 celsr1a
5 34522320 34738624 enc1
5 44355754 44596805 gas1a
5 67290115 67541054 ebf2
6 13820479 14087739 ptprnb
6 14849950 15053352 pou3f3b
6 18523492 18798669 rhbdl3
6 42718963 43016343 sema3fa
6 44712444 45077428 chl1b
6 54788493 55122544 nav1b
6 57534360 57822816 cbfa2t2
7 25778553 25995472 cd99l2
7 35935432 36148078 irx3a
7 37482281 37722370 nkd1
7 49224103 49695067 brsk2b
8 14984386 15329979 bcar3
8 17295929 17616448 skia
8 18465904 18682922 tmem47
8 33158580 33481913 lmx1bb
8 44195983 44398964 fzd10
9 26003814 26227305 efnb2a
9 7448533 7719622 ptprna
