10	10351685	10380131	cercam
10	19026988	19093808	igsf9a
10	31019607	31220558	pknox2
11	24907469	24993225	sulf2a
1	13260809	13271569	pcdh18a
11	39167846	39202915	wnt4
11	41242644	41372948	pax7a
1	21725821	21815554	pax5
12	21697540	21748008	pkd1b
12	22258962	22304841	wnt3
1	25399514	25438934	fhdc1
13	13213567	13294872	fgfr3
14	12533560	12837432	gria3b
14	14577246	14596699	plp1a
14	29807097	29906209	sorbs2b
1	49814461	49905357	lef1
15	18253542	18361475	zbtb16b
15	18368809	18574716	ncam1b
15	35372907	35410860	mecom
15	39277099	39820491	robo1
15	42163356	42206890	pax3b
15	8235531	8309217	tnfrsf19
16	33593116	33595985	pou3f1
16	813780	817937	irx1a
17	17914369	18025691	ccdc85ca
17	24318753	24324415	otx1
17	30369107	30418016	greb1
17	30976484	31082381	eml1
17	44244659	44249720	otx2b
17	52822422	52921236	meis2a
17	7844927	8173380	syne1b
18	15334117	15373620	rfx4
18	20225961	20257511	tle3a
18	40525408	40540703	vwa7
20	10098590	10120442	meis2a
20	24817118	24963092	epha7
2	11685742	11833356	greb1l
22	23493170	23545828	crb1
2	26303627	26444503	efna2a
2	29976419	29979956	en2b
23	20863145	20936845	pax7b
23	25452656	25686954	lrp1ab
23	28954137	29004753	casz1
2	33051730	33216740	rnf220a
24	37941618	37955993	metrn
2	47370323	47431205	pax3a
25	2776511	3012872	neo1b
25	2776865	2871393	neo1b
25	31323970	31394515	lsp1a
3	23697997	23771945	hoxb3a
3	24275597	24297419	pdgfbb
3	55627948	55650771	axin2
4	12612145	12679293	lmo3
4	28190013	28335184	celsr1a
5	34622320	34638624	enc1
5	44455754	44496805	gas1a
5	67390115	67441054	ebf2
6	13920479	13987739	ptprnb
6	14949950	14953352	pou3f3b
6	18623492	18698669	rhbdl3
6	42818963	42916343	sema3fa
6	44812444	44977428	chl1b
6	54888493	55022544	nav1b
6	57634360	57722816	cbfa2t2
7	25878553	25895472	cd99l2
7	36035432	36048078	irx3a
7	37582281	37622370	nkd1
7	49324103	49595067	brsk2b
8	15084386	15229979	bcar3
8	17395929	17516448	skia
8	18565904	18582922	tmem47
8	33258580	33381913	lmx1bb
8	44295983	44298964	fzd10
9	26103814	26127305	efnb2a
9	7548533	7619622	ptprna
