gene_name	Degree	log2FC	padj	pct	pct.dif	Degree_norm_0_100	pct.dif_norm_100	pct_norm_100	padj_log	padj_log_norm_100	log2FC_abs	log2FC_abs_norm_100	score_norm	TF
aass	6	1.37338508887765	6.89566641104084e-05	0.243	1.952	14.7058823529412	10.2447388765962	25.4526091586794	4.1614237563682	14.404358527003	1.37338508887765	10.8761364107256	14.9751715480961	NO
ackr3b	1	1.25004528314398	1.65801362537843e-13	0.475	1.88888888888889	0	9.90790849498961	50.1597444089457	12.7798306777654	78.595912451066	1.25004528314398	8.70756594704898	18.4213914127563	NO
aldh1a3	2	4.46056615154336	6.6130296437992e-269	0.529	15.1428571428571	2.94117647058824	80.645677268001	55.9105431309904	15.653559774527	100	4.46056615154336	65.1552041350146	39.1845163020449	NO
apln	1	2.85048448171979	1.67942714518105e-10	0.061	6.2	0	32.9167444216363	6.0702875399361	9.77483825723671	56.2141503965429	2.85048448171979	36.8466176854309	16.5059750054433	NO
atp6v1ba	10	1.8972935861474	2.31750038656136e-23	0.304	3.11224489795918	26.4705882352941	16.4370832174943	31.9488817891374	15.6535597291993	99.9999996623904	1.8972935861474	20.0875380834478	34.2944819617058	NO
bcl11aa	3	2.4176887215971	1.5266306901137e-44	0.319	4.50704225352113	5.88235294117647	23.8812577418605	33.5463258785943	15.653559774527	100	2.4176887215971	29.2371675438185	26.2742703661224	NO
bcl11ab	1	3.6446916718325	1.17027220426036e-172	0.673	6.35849056603774	0	33.7626245986711	71.2460063897764	15.653559774527	100	3.6446916718325	50.8104328890722	31.97738298469	NO
bmpr1ba	2	2.0338374220727	1.25781245088847e-71	0.806	2.25418994413408	2.94117647058824	11.8575571649821	85.4100106496273	15.653559774527	100	2.0338374220727	22.488262876416	28.9400670716723	NO
cadps2	7	2.33587212731312	9.27094874433953e-24	0.194	4.33333333333333	17.6470588235294	22.9541556698923	20.234291799787	15.6535597563941	99.9999998649424	2.33587212731312	27.7986615501739	30.1969180223642	NO
cgnb	1	2.14815556565893	1.08037115258972e-13	0.129	4.19354838709677	0	22.2081092771926	13.3120340788072	12.9655353475377	79.9790765824837	2.14815556565893	24.4982137448221	17.4996792104132	NO
chfr	2	1.4060154347183	1.56700189326347e-08	0.247	2.2962962962963	2.94117647058824	12.0822830241401	25.8785942492013	7.80493047265927	41.5418979800099	1.4060154347183	11.4498457966669	12.8396658665464	NO
crb1	2	-2.20262507868284	2.26091854361366e-08	0.068	0.258426966292135	2.94117647058824	1.20596834666325	6.81576144834931	7.64571507987169	40.3560310831602	2.20262507868284	25.4559011387001	10.6997959874032	NO
CUX1A	6	1.23106606183369	1.45222624226742e-37	0.848	1.56353591160221	14.7058823529412	8.17146675649175	89.8828541001065	15.653559774527	100	1.23106606183369	8.3738717393092	33.156465250959	YES
cxcl12a	3	1.69171985909305	2.62706041839127e-13	0.236	2.78823529411765	5.88235294117647	14.7078111989111	24.7071352502662	12.5801630193096	77.1087492918473	1.69171985909305	16.4731241483342	19.5657789567581	NO
dennd2b	1	1.2528715228317	1.59056380421772e-08	0.319	1.98757763975155	0	10.4346203374546	33.5463258785943	7.79844889876235	41.4936219698248	1.2528715228317	8.75725712236423	11.7789781635297	NO
dmrta2	6	2.31907518564065	2.08733907206308e-18	0.137	4.75862068965517	14.7058823529412	25.223957294366	14.1640042598509	15.6494962420236	99.9697340276232	2.31907518564065	27.5033363599456	28.2105701691938	NO
DMRTA2	1	2.31907518564065	2.08733907206308e-18	0.137	4.75862068965517	0	25.223957294366	14.1640042598509	15.6494962420236	99.9697340276232	2.31907518564065	27.5033363599456	20.8576289927232	YES
efna2a	3	-2.11318569638616	3.35869577795609e-12	0.228	0.495670995670996	5.88235294117647	2.4721637208641	23.8551650692226	11.4738006212387	68.8683491595442	2.11318569638616	23.8833706682301	17.8260575478208	NO
efna5a	2	1.67565334171779	2.51042918513094e-39	0.707	1.98876404494382	2.94117647058824	10.4409523019315	74.8668796592119	15.653559774527	100	1.67565334171779	16.1906413373156	26.6578973976015	NO
egfra	1	1.55629204829521	8.09205141082209e-10	0.247	2.36190476190476	0	12.432442039224	25.8785942492013	9.09194124754154	51.1278020003451	1.55629204829521	14.0920213996341	12.9413574610506	NO
eno4	9	4.63203148525425	4.26085478818753e-139	0.243	18.7692307692308	23.5294117647059	100	25.4526091586794	15.653559774527	100	4.63203148525425	68.1699215331657	48.4675222188336	NO
epha2b	4	0.754792991225686	0.00592265438941442	0.262	1.8013698630137	8.82352941176471	9.44081060423188	27.4760383386581	2.22748360944067	0	0.754792991225686	0	9.02637082374361	NO
ephb2b	1	2.10225538332669	5.92849318256745e-101	0.943	2.04329004329004	0	10.731963068611	100	15.653559774527	100	2.10225538332669	23.6911930178883	29.3028945108124	NO
fbrsl1	2	1.01073446772187	1.88647560529504e-13	0.654	1.58212560386473	2.94117647058824	8.27068182383083	69.2225772097977	12.7238379276499	78.1788676687561	1.01073446772187	4.49998378915788	21.4921020467369	NO
fezf1	6	4.00971816457414	8.40749161485291e-97	0.217	13.625	14.7058823529412	72.5447202154034	22.6837060702875	15.653559774527	100	4.00971816457414	57.2283582774765	38.9100392468665	NO
fezf2	1	0.857235828320198	0.00254802222255215	0.198	2.05154639175258	0	10.7760280352128	20.6602768903088	2.59379678862484	2.72837107938316	0.857235828320198	1.80115826692716	4.49572928397899	NO
FOXG1A	20	2.92430596409725	4.65046660237698e-85	0.403	6.02985074626866	55.8823529411765	32.0086406494891	42.4920127795527	15.653559774527	100	2.92430596409725	38.1445529733643	54.521827270889	YES
FOXN3	12	1.46943487273689	2.4685934052827e-20	0.498	2.11440677966102	32.3529411764706	11.1115202817343	52.6091586794462	15.6535114942771	99.9996403994036	1.46943487273689	12.5648914973797	38.2121219454808	YES
GLI1	7	0.935465269264583	7.12589043934989e-07	0.392	1.77027027027027	17.6470588235294	9.2748289330625	41.3205537806177	6.14716085908116	29.1945107523921	0.935465269264583	3.17659463974134	19.1943404249914	YES
GRHL2A	2	0.934496245688189	0.000211423522627757	0.331	1.75661375661376	2.94117647058824	9.20194273877194	34.8242811501597	3.67484669546182	10.7802389039392	0.934496245688189	3.15955718866158	8.71634073298567	YES
her9	5	1.24056308993331	4.32694072440672e-16	0.468	2.03030303030303	11.7647058823529	10.6626500670914	49.4142705005325	15.1839320032504	96.5021219490927	1.24056308993331	8.54084925728919	26.5223394129272	NO
