CUX1A
DMRTA2
FOXG1A
FOXN3
GLI1
GRHL2A
LHX2B
LHX9
NR2E1
PAX2A
PAX2B
RORB
SIX3A
SIX3B
SOX1B
VAX1
VAX2
ZIC2A
