CUX1A 1.23106606183369 1.45222624226742e-37 0.848 1.56353591160221
FOXG1A 2.92430596409725 4.65046660237698e-85 0.403 6.02985074626866
FOXN3 1.46943487273689 2.4685934052827e-20 0.498 2.11440677966102
GLI1 0.935465269264583 7.12589043934989e-07 0.392 1.77027027027027
LHX2B 2.0040576394365 2.65800627933144e-95 0.749 3.71287128712871
LHX9 3.00579297695997 9.48776265496524e-107 0.479 6.15384615384615
NR2E1 1.5314259417325 2.85567990619729e-25 0.441 2.58479532163743
PAX2A 2.68445332235397 1.49327302262746e-120 0.7 4.35403726708075
PAX2B 2.88728149741191 1.62519798158129e-158 0.703 5.86666666666667
SIX3A 1.96762996111991 2.20362545015094e-22 0.209 4.03846153846154
SIX3B 2.14923182508517 4.7748690821487e-31 0.27 4.04477611940298
SOX1B 2.6863867932447 2.60334080805678e-33 0.175 6.06896551724138
VAX1 4.27305820668357 0 0.654 14.8863636363636
VAX2 3.33129624377785 9.56956417611465e-293 0.882 8.33018867924528
ZIC2A 1.26236602280024 1.10027812875174e-13 0.376 2.19186046511628
